clientid,name,dob,incomeytd,account_balance,account_type,employment_status,address,email,phone_number,credit_score
18,Mr. Aaron Hale,12/21/1980,177447.3,125718.33,Savings,Unemployed,"48926 Davis Parks Apt. 864, North Josephton, AL 34130",lfox@example.net,(771)345-4391x0144,650
19,Danielle Mora,12/31/1949,169745.4,418911.76,Mortgage,Student,"8298 Amanda Loop Suite 447, Ashleyberg, GA 16661",jamesbrittany@example.org,-5498,665
20,Amy Evans,7/31/1989,46819.07,140801.14,Mortgage,Employed,"57608 Gloria Common, Smithton, DE 81880",keymorgan@example.net,832-894-3167x5625,346
21,Timothy Hernandez,5/18/1960,192920,473479.46,Investment,Self-Employed,"5667 Blair Underpass, South Shelby, OR 93561",bullockarthur@example.net,325-602-3949,667
22,Sonya Jenkins,7/16/1942,181748.64,80459.85,Mortgage,Employed,"774 Lewis Grove Apt. 002, Adamtown, DC 08848",mbecker@example.com,-10662,496
23,Stephanie Scott,5/23/1974,162975.86,83254.65,Mortgage,Employed,"85334 Collins Wall, Scottstad, VI 93887",bradleyvilla@example.org,3773706777,728
24,Brett Cannon,1/16/1967,72214.46,247544.04,Mortgage,Self-Employed,"8602 Tracy Crossroad, Sarahmouth, NE 14563",chelsea34@example.com,597.684.4301x91263,300
25,Yolanda Smith,4/24/1975,211056.84,201207.5,Mortgage,Unemployed,"64195 Emily Squares, Jeffreybury, CA 68416",emily35@example.net,849.422.0885x5902,433
26,Kayla Jones,12/6/1990,85882.51,304375.64,Savings,Employed,"332 Kathleen Knoll Apt. 719, New Caitlinfort, NH 40962",benjaminangela@example.org,+1-277-585-1429x63546,495
27,Nicholas Nixon,3/22/1962,219676.92,11411.83,Checking,Employed,"5240 Berry Centers, West Andrew, SC 08538",allenalexander@example.net,810-856-2376x25425,706
28,Steven Ferguson,8/15/1993,201957.89,139565.7,Investment,Unemployed,"6208 Christy Shore, North Mark, MP 23605",sonyafrye@example.org,001-682-716-9197x2990,417
29,Morgan Johnson,4/27/2002,20151.42,454970.66,Investment,Self-Employed,"2738 Martin Terrace Suite 547, Smithhaven, MH 38279",xmadden@example.net,001-984-207-6165,675
30,Patrick Johnson,3/11/1985,213126.38,104318.13,Mortgage,Student,"Unit 3885 Box 6431, DPO AP 43681",brendacortez@example.net,(622)750-9092x554,850
31,Jamie Jordan Jr.,7/7/1992,12135.3,169458.86,Investment,Retired,"50749 Chad Manors Suite 282, Lake Danielleshire, DE 66551",rfischer@example.com,206-444-8885x5362,676
32,Meredith Harrington,1/3/1965,19888.71,494656.86,Checking,Self-Employed,"693 Michael Estate, Lake Michael, UT 65642",simonjohn@example.org,926-319-7378x132,669
33,Madison Shepard,1/24/1956,80417.68,364466.04,Checking,Employed,"514 Travis Track Suite 366, Rowefurt, UT 05536",kgomez@example.org,001-345-706-7820,483
34,Benjamin Love,7/22/1984,106760.6,454374.45,Investment,Student,"56246 Caitlin Lodge Suite 802, East Renee, VT 84635",blairapril@example.net,001-762-659-1182x434,401
35,Kelly Bryant,10/17/2000,90899.33,19393.28,Savings,Student,"209 Darlene Bypass Suite 137, Port Stephen, GA 93500",roberta27@example.net,7819850116,809
36,James Cox,2/13/1996,186340.24,403982.4,Checking,Self-Employed,"20593 Robert Circle, Lauraton, PA 93739",michaelconley@example.org,(607)559-9449x76207,389
37,Amy Davis,8/25/1940,189968.7,259742.36,Mortgage,Employed,"057 Alvarez Walks Apt. 864, Lake Zacharyland, MA 47496",ruizantonio@example.net,+1-740-206-5282x2223,703
38,Dr. Michael Williams,3/22/1955,230836.64,292821.38,Mortgage,Employed,"3267 Walter Dam, Cunninghamtown, GA 77001",mcdanieljennifer@example.org,(400)458-0001,525
39,Jamie Johnson,7/22/1968,113493.05,376342.98,Savings,Employed,"PSC 5325, Box 8386, APO AE 17513",wknight@example.org,(763)276-3637x69144,838
40,Penny Mcdowell,9/2/1957,38538.47,73604.07,Investment,Unemployed,"180 Jennifer Burg Suite 661, Munozburgh, GA 45130",ljenkins@example.com,001-781-655-2578x03429,521
41,Andrew Arnold,3/30/1941,120017.93,203250.49,Checking,Employed,"2219 Martin Meadows, Fordland, WI 56262",garyclark@example.org,8826759451,451
42,Grace Mason,6/12/1961,220637.58,305080.42,Investment,Student,"843 Reed Mountains Suite 661, East Adam, PA 83607",terrydeborah@example.org,+1-798-914-9261x001,506
43,Michael Wood,4/12/1986,12329.12,392191.2,Investment,Employed,"88182 Maria Vista, New Robert, TN 27774",zerickson@example.com,3928627906,563
44,Jonathon Gibson,7/13/1971,149907.56,65681.83,Savings,Employed,"674 Jerry Lakes Apt. 492, Jonesland, NJ 52044",qhawkins@example.com,514.225.1202,367
45,Jared Lyons,10/25/1979,13668.43,252747.35,Investment,Unemployed,"8551 John Parks, Joshuatown, NM 47013",christopher49@example.com,656.823.4375,771
46,Sandra Wilson,1/12/1963,147729.39,209211.41,Mortgage,Unemployed,"556 Howard Locks, Michellefort, MH 38690",griffinmaurice@example.org,001-525-873-1667x8799,848
47,Katelyn Edwards,5/29/1985,212918.08,253675.46,Checking,Employed,"3609 Richard Greens Apt. 521, Port Holly, AK 31136",smithamanda@example.org,899-331-7308,486
48,Tammy Perez,2/20/1967,89844.6,31598.25,Investment,Retired,"3609 Johnson Key, Margaretmouth, SD 18114",kingdakota@example.org,302-392-6395x368,693
49,Karen Hicks,5/2/1969,67348.41,246169.56,Savings,Employed,"64619 Wilkins Wall Apt. 735, Rowechester, AK 59090",transusan@example.com,663.747.7237,727
50,Linda Noble,10/19/2004,171650.51,229711.72,Investment,Student,"8102 Johnson Ways, Port Rachel, MS 89339",robertlee@example.com,8584352889,777
51,Lisa Nolan,9/15/1977,123013.41,350189.81,Savings,Employed,"79583 Bradley Dale, South Morgan, RI 29860",atkinskatherine@example.com,+1-945-373-2585x7675,631
52,Paul Walton,10/11/2003,56793.67,484757.97,Savings,Employed,"USNS Mcclain, FPO AP 06609",sullivanchristopher@example.com,001-696-883-0287,645
53,Andrea Jacobs,7/30/1988,199255.96,19573.11,Mortgage,Retired,"9541 Katrina Garden, New Michellehaven, MN 20604",lgreen@example.com,736-968-5394x102,831
54,Willie Mendoza,8/9/1960,116699.1,243339.47,Mortgage,Retired,"69220 Janice Gateway, Lake Josephfurt, DE 45566",nathaniel38@example.net,7584802704,345
55,Zachary Austin,4/16/1967,236747.98,472770.03,Checking,Employed,"192 Johnson Ville, West Colin, MP 93220",wendysteele@example.org,(439)675-2458x3375,819
56,Paula Smith,10/20/1983,112232.86,207873.15,Savings,Employed,"19041 Jennifer Flats Suite 716, Martinezshire, NH 42985",kennethfuller@example.net,001-540-400-4155x840,364
57,Anthony Price,12/25/1957,186227.04,459681.54,Mortgage,Student,"771 Brooks Pike Apt. 376, East Christopherville, GU 24437",susansmith@example.com,761.583.7446x67028,330
58,Daniel Turner,10/3/1948,183410.27,173049.83,Investment,Employed,"023 Schaefer Squares Apt. 382, Lake John, WI 39742",bowenkristy@example.org,9623686368,667
59,Brady Smith,1/5/1995,12391.42,102793,Investment,Employed,"674 Dudley Shore, Scottland, MH 21173",joycehodge@example.org,717.637.2984x09255,512
60,Melissa Anderson,6/30/1971,189514.44,227297.01,Investment,Employed,"4727 Pace Squares Suite 596, Rileyhaven, ME 88919",jacobrobinson@example.net,(682)898-8875,445
61,Terrence Rose,8/4/1992,92667.91,236948.52,Checking,Employed,"Unit 7103 Box 9140, DPO AE 24749",rebeccastanley@example.net,300-809-2436x755,670
62,Melissa Tate,11/3/1939,81123.19,290634.27,Checking,Self-Employed,"3522 Barrett Ridge, Willisbury, MH 00861",grahamcassandra@example.net,+1-628-916-4593x0525,405
63,Lisa Rivera,10/30/1999,100381.34,118710.27,Checking,Unemployed,"84869 Fisher Estate, Mirandaville, OR 15107",julieolson@example.net,001-216-444-1588x1009,820
64,Jennifer Bowers,8/16/1971,79854.28,351233.68,Savings,Unemployed,"69303 Melendez Burgs, New Kimberlyberg, OH 96333",richard80@example.net,682.682.3921x974,703
65,Michael Hancock,7/18/1997,110855.61,42735.57,Checking,Self-Employed,"42282 Stephanie Avenue, Marymouth, OR 98944",millerjamie@example.com,877-388-1157x66878,605
66,Briana Ross,5/18/1998,161866.96,220928.04,Mortgage,Student,"20691 Alice Port, Michaelfort, MO 78026",julie97@example.net,(938)306-5580x391,727
67,Randall Sanchez,7/9/1940,80394.8,279311.7,Savings,Unemployed,"505 Matthew Oval, Avilachester, AL 85421",destinywoods@example.net,(920)478-2649x730,583
68,Emily Murphy,2/16/1968,200957.72,124354.86,Mortgage,Unemployed,"663 James Garden, West Sydney, ND 77460",sheri39@example.com,+1-925-532-4828x917,742
69,Lindsay Jacobs,3/6/1987,91693.1,147716.8,Investment,Student,"6483 Anthony Island, North Jamesborough, PA 21938",gmiller@example.com,001-976-656-0105x249,794
70,Jennifer Hendricks,5/21/1964,158496.52,304775.68,Checking,Retired,"USS Barber, FPO AP 12460",bondbrandi@example.com,001-591-693-0014x1962,608
71,Terry Garza,4/1/1954,179510.57,316216.77,Savings,Student,"7429 Harris Dale, Dicksonburgh, ID 77674",belldonna@example.net,(541)294-9302,715
72,Charles Ryan,2/13/1973,38999.59,355127.38,Savings,Retired,"USNS Bryant, FPO AP 58512",sheliawalsh@example.com,+1-331-457-4589x43486,838
73,Troy Kerr,5/7/1945,34487.61,35692.61,Investment,Retired,"64832 Joseph Islands Suite 805, Fitzgeraldfurt, OH 16998",dianatorres@example.com,496.237.3611x86187,387
74,David George,7/13/1966,83344.94,207707.79,Savings,Self-Employed,"337 James Walks, New Davidborough, OH 76106",pburke@example.com,+1-479-505-5303x73830,467
75,Brandon Hill,1/11/1983,77859.49,202004.73,Checking,Self-Employed,"191 Wood Road Apt. 326, Port Andrew, LA 19372",jocelyn21@example.net,351-653-3486x66027,720
76,Brittney Lopez,11/10/1979,80141,200907.66,Checking,Unemployed,"643 Shelly Dam, Moonside, NE 24024",evanstheodore@example.org,+1-651-817-3800x91749,423
77,Mario Shelton,6/2/1978,43487.94,244684.65,Investment,Student,"303 Jasmine Spring Apt. 299, North Daniel, CT 35829",qray@example.net,(501)327-0554x66043,523
78,Brianna Salas,5/13/1953,128252.74,443723.95,Mortgage,Retired,"6988 Jennifer Stravenue, Bradshawport, CT 58848",joel44@example.org,(527)406-7048x967,807
79,Debra Franco,1/17/1987,16131.23,3708.52,Mortgage,Employed,"8629 Adams Well Apt. 035, Jeanetteville, TN 04590",ncollins@example.net,456.721.3577,383
80,Jeffrey Diaz,1/19/1946,37876.51,144318.09,Investment,Retired,"10867 Phillip Stravenue Apt. 604, West Joshua, DE 73626",aaron20@example.org,357-233-5974x82760,444
81,Nathaniel Edwards,9/12/1946,114164.54,74435.63,Mortgage,Unemployed,"89403 Gabriella Mills, East Steven, MH 91501",scottdecker@example.org,-5633,731
82,Matthew Wagner,10/28/1995,135798.85,213931.46,Checking,Unemployed,"693 Reed Island, Fullermouth, FM 98092",melvin22@example.org,450.557.9430x178,657
83,Tiffany Guzman,5/31/1976,103488.74,17122.98,Checking,Student,"7503 Carlos Curve Apt. 886, Jaredchester, AK 71876",vlove@example.net,2393467841,350
84,Mason James,10/5/1982,219042.25,43771.51,Savings,Unemployed,"064 Moore Spring Suite 699, Terrystad, ME 55386",michaelcoleman@example.com,313-453-6095x2271,604
85,Amanda Banks,1/18/1951,195143.34,464915.05,Mortgage,Student,"624 Alexander Place Apt. 272, Lake Darrylport, VA 40512",peter94@example.com,001-271-304-3748x36160,828
86,Edward Brown,2/13/1941,149430.43,21596.44,Investment,Student,"1920 Laura Club, New Kimberlyville, ID 13622",hreynolds@example.com,001-278-528-1256x821,645
87,Rick Gray,3/2/1964,49085.81,340411.75,Investment,Employed,"PSC 8986, Box 4391, APO AE 79793",xhorn@example.net,958-950-0024x3221,365
88,Desiree Green,4/26/1948,143864.44,441474.68,Mortgage,Unemployed,"531 Thomas Glen Suite 319, West Lauren, WI 14020",kim68@example.com,6532606842,404
89,Debra Miller,8/29/1961,87502.95,95470.82,Investment,Retired,"24581 Tyler Well Apt. 640, Adamburgh, MA 23043",jyoung@example.org,7837787995,834
90,Ricky Barnes,7/13/1951,60301.92,258691.82,Checking,Unemployed,"690 Christina Park, Toddburgh, FL 89463",cjames@example.net,001-834-612-9042x1242,608
91,Maria Flores,6/5/1988,71113.4,230735.06,Checking,Employed,"9544 Bennett Passage, South Sharonhaven, NY 27108",pnelson@example.com,001-900-968-1400x7685,374
92,Morgan Yoder,3/19/1978,21392.45,41197.76,Mortgage,Student,"534 Jones Court, Port Catherine, SC 17371",cstewart@example.net,(674)875-8305,420
93,Marie Larson,9/28/1959,208303.61,279726.1,Mortgage,Unemployed,"53007 Miller Pine, East Courtneyshire, DC 74314",christopher52@example.com,(205)911-9144x952,378
94,Mark Davis,1/13/1997,19444.4,467263.21,Checking,Student,"USCGC Caldwell, FPO AA 19562",wpacheco@example.com,+1-934-412-7554x7532,431
95,Regina Crawford,6/18/1945,248720.6,257260.72,Investment,Self-Employed,"521 Martin Knolls Apt. 165, Kyletown, ID 86792",danielle28@example.org,431.284.1061x6772,603
96,Brittany Wilson,5/13/1966,138679.61,391855.07,Investment,Unemployed,"46287 Gallagher Road, Lake Lindsey, KS 23727",mallorymiller@example.net,557.515.8647x02527,421
97,Thomas Gonzales,8/22/1945,51418.28,257883.89,Checking,Unemployed,"2339 Keller Wall, Brittanyfort, MH 66601",kim09@example.net,+1-924-838-8147x210,306
98,Emily Flynn,4/19/1954,39230.53,330473.92,Savings,Self-Employed,"Unit 2807 Box 2018, DPO AE 18630",brownrebecca@example.net,710.832.5689,535
99,Nathan Carlson,1/15/1954,187568.7,186911.86,Savings,Self-Employed,"062 Bryan Roads Apt. 544, Petersonchester, NM 43714",zachary47@example.net,565-464-0374x66227,635
100,Tammy Miller,4/10/2002,78839.45,317590.35,Checking,Employed,"271 Giles Mews, North Megan, AR 68118",warnervirginia@example.net,001-419-722-9355x1167,675
